Estado;"""#""";"""(""";""")""";"""<""";"""<=""";"""==""";""">""";""">=""";AritmExp;LogicalExp
(10, 11, 12, 13, 8, 9);[];[];[];[];[];[];[];[];[(14, 2, 5)];[]
*(14, 2, 5);[(10, 11, 12, 13, 8, 9)];[];[];[(10, 11, 12, 13, 8, 9)];[(10, 11, 12, 13, 8, 9)];[(10, 11, 12, 13, 8, 9)];[(10, 11, 12, 13, 8, 9)];[(10, 11, 12, 13, 8, 9)];[];[]
->0;[];[3];[];[];[];[];[];[];[(14, 2, 5)];[]
3;[];[];[];[];[];[];[];[];[];[4]
4;[];[];[(14, 2, 5)];[];[];[];[];[];[];[]
